Digest Size,Inputs Generated,Collision Time
8,25,0.0
10,37,0.0
12,57,0.001001596450805664
14,176,0.0010008811950683594
16,483,0.003002643585205078
18,898,0.005004167556762695
20,1270,0.0070149898529052734
22,3792,0.022019624710083008
24,5797,0.032029151916503906
26,14054,0.07807135581970215
28,51089,0.28326416015625
30,36018,0.19818782806396484
32,110311,0.611562967300415
34,57181,0.32630372047424316
36,233187,1.3111894130706787
38,1497920,8.716906070709229
40,1654221,9.578688859939575
42,3559930,20.385488271713257
44,3853528,21.978933572769165
46,2421447,13.756477117538452
48,14775957,86.2702419757843
50,37919292,220.54202580451965
